"CPID","Year","SurveyDate","BlockID","SiteID","FragSize","SizeClass","ForestProp1km","FragRatio1km","ForestProp1kmRadius","FragRatio1kmRadius","Hunted","BrowseProb","PlotID","CornerFlagged","Latitude","Longitude","HostID","Host","HostFamily","HostGenus","HostSpecies","HostAbund","IndNum","BranchNum","BranchLength","BranchDiam","NumLeaves","CatID","ScientificName","Count","BadHost","Family","Genus","Species","MicroLep","Specialist","wtMPD","Records","Hosts","RearID","Notes"
1,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",6,1,1,50,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
2,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",6,2,2,30,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
3,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"VACCO","Vaccinium corymbosum","Ericaceae","Vaccinium","corymbosum",1,1,1,NA,NA,860,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
4,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"BETLE","Betula lenta","Betulaceae","Betula","lenta",18,1,1,NA,NA,40,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
5,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"BETLE","Betula lenta","Betulaceae","Betula","lenta",18,2,11,NA,NA,156,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
6,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",6,3,3,25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
7,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"BETLE","Betula lenta","Betulaceae","Betula","lenta",18,3,12,NA,NA,487,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
8,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"BETLE","Betula lenta","Betulaceae","Betula","lenta",18,4,13,NA,NA,82,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
9,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"BETLE","Betula lenta","Betulaceae","Betula","lenta",18,5,14,NA,NA,134,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
10,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"BETLE","Betula lenta","Betulaceae","Betula","lenta",18,6,15,NA,NA,218,"MORRCO","Morrisonia confusa",1,NA,"Noctuidae","Morrisonia","confusa","no","no",202.23,129,26,NA,""
11,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"BETLE","Betula lenta","Betulaceae","Betula","lenta",18,7,16,NA,NA,245,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
12,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"BETLE","Betula lenta","Betulaceae","Betula","lenta",18,8,17,NA,NA,104,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
13,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"BETLE","Betula lenta","Betulaceae","Betula","lenta",18,9,18,NA,NA,282,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
14,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"BETLE","Betula lenta","Betulaceae","Betula","lenta",18,10,2,NA,NA,252,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
15,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",6,4,4,20,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
16,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"BETLE","Betula lenta","Betulaceae","Betula","lenta",18,11,3,NA,NA,62,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
17,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"BETLE","Betula lenta","Betulaceae","Betula","lenta",18,12,4,NA,NA,71,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
18,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",6,5,5,25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
19,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",6,6,6,30,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
20,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"BETLE","Betula lenta","Betulaceae","Betula","lenta",18,13,5,NA,NA,20,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
21,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"BETLE","Betula lenta","Betulaceae","Betula","lenta",18,14,6,NA,NA,116,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
22,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"BETLE","Betula lenta","Betulaceae","Betula","lenta",18,15,7,NA,NA,117,"ORTHRU","Orthosia rubescens",1,NA,"Noctuidae","Orthosia","rubescens","no","no",221.96,141,22,NA,""
23,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"BETLE","Betula lenta","Betulaceae","Betula","lenta",18,16,8,NA,NA,65,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
24,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"BETLE","Betula lenta","Betulaceae","Betula","lenta",18,17,9,NA,NA,70,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
25,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"FAGGR","Fagus grandifolia","Fagaceae","Fagus","grandifolia",2,1,1,NA,NA,1582,"EUPIXX","Eupithecia",1,NA,"Geometridae","Eupithecia","","no","no",227,94,22,"HU610-1",""
26,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"FAGGR","Fagus grandifolia","Fagaceae","Fagus","grandifolia",2,1,1,NA,NA,1582,"MORRCO","Morrisonia confusa",1,NA,"Noctuidae","Morrisonia","confusa","no","no",202.23,129,26,NA,""
27,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"FAGGR","Fagus grandifolia","Fagaceae","Fagus","grandifolia",2,2,2,NA,NA,297,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
28,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB1","NW",41.465343,-72.539459,"BETLE","Betula lenta","Betulaceae","Betula","lenta",18,18,10,NA,NA,60,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
29,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"BETLE","Betula lenta","Betulaceae","Betula","lenta",13,1,1,NA,NA,132,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
30,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",6,1,1,75,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
31,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"BETLE","Betula lenta","Betulaceae","Betula","lenta",13,2,7,NA,NA,28,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
32,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"BETLE","Betula lenta","Betulaceae","Betula","lenta",13,3,8,NA,NA,64,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
