"STID","BlockID","SiteID","Block","Site","FragSize","ForestProp1km","FragRatio1km","ForestProp1kmRadius","FragRatio1kmRadius","CoreConnected","SizeClass","Hunted","BrowseProb","ScatPredict","Latitude","Longitude","SiteNotes"
1,"BL","RVS","Bolton","Rockville_small",12.821,0.59,1.566,0.587,1.419,0,"small","yes",0.177,0.019,41.84557,-72.429924,""
2,"BL","RVM","Bolton","Rockville_medium",149.483,0.655,3.4,0.815,0.835,0.372,"medium","yes",0.193,0.032,41.839123,-72.434303,""
3,"BL","VFL","Bolton","ValleyFalls",534.575,0.53,5.414,0.841,0.391,3.437,"large","no",0.447,0.179,41.808037,-72.442978,""
4,"BB","BBS","BeaverBrook","BeaverBrook_small",26.943,0.751,1.5,0.762,1.479,0.929,"small","no",0.165,0.184,41.766865,-72.122551,""
5,"BB","BBL","BeaverBrook","BeaverBrook_large",388.81,0.71,1.809,0.959,0.218,3.438,"large","yes",0.14,0.328,41.742252,-72.132301,"Deer archery and spring turkey hunting only."
6,"BS","BSS","BishopSwamp","BishopSwamp_small",10.963,0.679,1.223,0.616,1.29,175.592,"small","yes",0.058,0.051,41.710239,-72.388237,"Deer archery, small game, waterfowl, and turkey hunting only."
7,"BS","BSM","BishopSwamp","BishopSwamp_medium",134.156,0.704,1.994,0.752,0.651,52.403,"medium","yes",0.093,0.058,41.712059,-72.403091,"Deer archery, small game, waterfowl, and turkey hunting only."
8,"BS","GCL","BishopSwamp","GayCityStatePark",532.444,0.616,2.236,0.928,0.287,2.323,"large","no",0.071,0.169,41.718437,-72.446922,"Original center at 41.718437, -72.446922. Moved after 2017 deer surveys"
9,"NH","TCS","NyeHolman","TroopC_small",6.225,0.782,1.364,0.831,1.144,43.014,"small","no",0.304,0.272,41.88443,-72.326073,""
10,"NH","TCM","NyeHolman","TroopC_medium",108.697,0.747,1.897,0.866,1.215,44.222,"medium","yes",0.165,0.026,41.889996,-72.327118,""
11,"NH","BRL","NyeHolman","BabcockRd",237.46,0.74,1.773,0.9,0.385,16.815,"large","yes",0.19,0.101,41.900101,-72.305763,""
12,"NC","SLS","Natchaug","Natchaug_SummerLane",56.021,0.792,0.758,0.787,0.882,0.186,"small","yes",0.105,0.061,41.895432,-72.13916,""
13,"NC","MRL","Natchaug","Natchaug_MoonRoad",342.905,0.812,1.074,0.935,0.455,0.093,"large","yes",0.222,0.04,41.908905,-72.145622,""
14,"CP","HRS","Cockaponset","HubbardRoad",2.973,0.79,0.826,0.783,0.997,17.002,"small","yes",0.275,0.094,41.467499,-72.544258,""
15,"CP","CPM","Cockaponset","Cockaponset_medium",206.439,0.781,1.554,0.903,0.628,0.929,"medium","yes",0.145,0.134,41.432442,-72.538094,"Original center at 41.432518, -72.537878"
16,"SC","SRS","Scotland","SaltRockStateForest",28.894,0.754,0.809,0.779,0.923,1.022,"small","no",0.066,0.032,41.637264,-72.091393,"Original center at 41.637134, -72.091974, but shifted due to dirt road"
17,"SC","MPM","Scotland","MahoneyPond",91.978,0.641,1.99,0.697,0.722,7.34,"medium","yes",0.062,0.073,41.620186,-72.138901,"Original center at 41.62039, -72.139329, initial apex SUB at 41.62372, -72.138024"
18,"SC","MSL","Scotland","MoheganStateForest",659.636,0.645,2.198,0.935,0.217,0.093,"large","yes",0.057,0.055,41.66748,-72.076942,""
19,"MM","GHS","Meshomasic","GoodaleHillRd_small",99.038,0.711,1.589,0.777,0.792,0,"small","yes",0.082,0.067,41.695019,-72.5019,""
20,"MM","GHM","Meshomasic","GoodaleHillRd_medium",140.381,0.748,0.994,0.883,0.555,0,"medium","yes",0.092,0.025,41.687511,-72.502838,""
21,"MM","MML","Meshomasic","MeshomasicTrails",1013.98,0.677,1.973,0.955,0.09,0.743,"large","yes",0.038,0.1,41.675827,-72.482056,""
22,"SM","SMS","Salmon","Salmon_small",18.117,0.822,1.163,0.787,1.457,3.716,"small","yes",0.084,0.038,41.561844,-72.463974,""
23,"SM","SML","Salmon","Salmon_large",1004.509,0.651,2.26,0.882,0.601,5.203,"large","yes",0.031,0.04,41.6059,-72.462128,""
24,"MT","WFS","Middletown","WadsworthFalls",53.7,0.379,5.505,0.588,1.549,5.853,"small","no",0.127,0.064,41.533619,-72.682961,""
25,"MT","WSS","Middletown","WilbertSnowSchool",11.706,0.355,3.002,0.407,2.242,0.186,"small","no",0.094,0.03,41.537201,-72.673019,""
26,"MT","MPL","Middletown","MillersPond",416.223,0.704,1.654,0.887,0.455,1.208,"large","yes",0.067,0.025,41.473549,-72.631172,""
27,"ST","WWS","Storrs","WhettonWoods",14.958,0.506,4.078,0.582,3.264,0.65,"small","no",0.415,0.176,41.806938,-72.235321,""
28,"ST","FNM","Storrs","Fenton",194.728,0.648,1.955,0.72,0.687,3.716,"medium","no",0.173,0.246,41.825401,-72.247597,""
29,"WF","CKS","Wallingford","ChoateKollerEC",8.64,0.314,17.741,0.342,7.177,0.093,"small","no",0.23,0.18,41.458382,-72.793602,""
30,"WF","SGL","Wallingford","SleepingGiant",419.102,0.545,3.377,0.769,0.486,0.279,"large","no",0.118,0.07,41.440399,-72.876083,""
31,"CV","LFS","Coventry","LeeFarm",41.436,0.724,2.536,0.73,2.31,5.296,"small","yes",0.025,0.029,41.7952,-72.343071,""
32,"CV","NHL","Coventry","NathanHale",409.528,0.712,2.331,0.933,0.294,9.012,"large","yes",0.07,0.063,41.758369,-72.347,""
