"SPID","SpeciesID","ScientificName","Taxon","Family","Genus","Species","Infraspecific","BOLDID","CommonName","MicroLep","Specialist","wtMPD","Records","Hosts","Notes"
1,"ACENI","Acer nigrum","Plantae","Sapindaceae","Acer","nigrum","",NA,"Black Maple",NA,NA,NA,NA,NA,""
2,"ACEPE","Acer pensylvanicum","Plantae","Sapindaceae","Acer","pensylvanicum","",NA,"Striped Maple",NA,NA,NA,NA,NA,""
3,"ACERU","Acer rubrum","Plantae","Sapindaceae","Acer","rubrum","",NA,"Red Maple",NA,NA,NA,NA,NA,""
4,"ACESA","Acer saccharum","Plantae","Sapindaceae","Acer","saccharum","",NA,"Sugar Maple",NA,NA,NA,NA,NA,""
5,"ACEXX","Acer","Plantae","Sapindaceae","Acer","","",NA,"Maple",NA,NA,NA,NA,NA,""
6,"AMEAR","Amelanchier arborea","Plantae","Rosaceae","Amelanchier","arborea","",NA,"Common Serviceberry",NA,NA,NA,NA,NA,""
7,"AMECA","Amelanchier canadensis","Plantae","Rosaceae","Amelanchier","canadensis","",NA,"Canadian Serviceberry",NA,NA,NA,NA,NA,""
8,"AMEXX","Amelanchier","Plantae","Rosaceae","Amelanchier","","",NA,"Serviceberry",NA,NA,NA,NA,NA,""
9,"BERTH","Berberis thunbergii","Plantae","Berberidaceae","Berberis","thunbergii","",NA,"Japanese Barberry",NA,NA,NA,NA,NA,""
10,"BETAL","Betula alleghaniensis","Plantae","Betulaceae","Betula","alleghaniensis","",NA,"Yellow Birch",NA,NA,NA,NA,NA,""
11,"BETLE","Betula lenta","Plantae","Betulaceae","Betula","lenta","",NA,"Black Birch",NA,NA,NA,NA,NA,""
12,"BETPA","Betula papyrifera","Plantae","Betulaceae","Betula","papyrifera","",NA,"Paper Birch",NA,NA,NA,NA,NA,""
13,"BETPO","Betula populifolia","Plantae","Betulaceae","Betula","populifolia","",NA,"Grey Birch",NA,NA,NA,NA,NA,""
14,"BETXX","Betula","Plantae","Betulaceae","Betula","","",NA,"Birch",NA,NA,NA,NA,NA,""
15,"CARCA","Carpinus caroliniana","Plantae","Betulaceae","Carpinus","caroliniana","",NA,"Musclewood",NA,NA,NA,NA,NA,""
16,"CARCO","Carya cordiformis","Plantae","Juglandaceae","Carya","cordiformis","",NA,"Bitternut Hickory",NA,NA,NA,NA,NA,""
17,"CARGL","Carya glabra","Plantae","Juglandaceae","Carya","glabra","",NA,"Pignut Hickory",NA,NA,NA,NA,NA,"Including Carya ovalis"
18,"CAROV","Carya ovata","Plantae","Juglandaceae","Carya","ovata","",NA,"Shagbark Hickory",NA,NA,NA,NA,NA,""
19,"CARTO","Carya tomentosa","Plantae","Juglandaceae","Carya","tomentosa","",NA,"Mockernut Hickory",NA,NA,NA,NA,NA,""
20,"CARXX","Carya","Plantae","Juglandaceae","Carya","","",NA,"Hickory",NA,NA,NA,NA,NA,""
21,"CASDE","Castanea dentata","Plantae","Fagaceae","Castanea","dentata","",NA,"American Chestnut",NA,NA,NA,NA,NA,""
22,"CELOR","Celastrus orbiculatus","Plantae","Celastraceae","Celastrus","orbiculatus","",NA,"Oriental Bittersweet",NA,NA,NA,NA,NA,""
23,"CLEAL","Clethra alnifolia","Plantae","Clethraceae","Clethra","alnifolia","",NA,"Sweet Pepperbush",NA,NA,NA,NA,NA,""
24,"CORFL","Cornus florida","Plantae","Cornaceae","Cornus","florida","",NA,"Flowering Dogwood",NA,NA,NA,NA,NA,"FNA uses Swida instead of Cornus, but this is not the consensus"
25,"CORSE","Cornus sericea","Plantae","Cornaceae","Cornus","sericea","",NA,"Red Osier Dogwood",NA,NA,NA,NA,NA,"FNA uses Swida instead of Cornus, but this is not the consensus"
26,"CORNX","Cornus","Plantae","Cornaceae","Cornus","","",NA,"Dogwood",NA,NA,NA,NA,NA,"FNA uses Swida instead of Cornus, but this is not the consensus"
27,"CORAM","Corylus americana","Plantae","Betulaceae","Corylus","americana","",NA,"American Hazelnut",NA,NA,NA,NA,NA,""
28,"CORCO","Corylus cornuta","Plantae","Betulaceae","Corylus","cornuta","",NA,"Beaked Hazelnut",NA,NA,NA,NA,NA,""
29,"CORYX","Corylus","Plantae","Betulaceae","Corylus","","",NA,"Hazelnut",NA,NA,NA,NA,NA,""
30,"CRAXX","Crataegus","Plantae","Rosaceae","Crataegus","","",NA,"Hawthorn",NA,NA,NA,NA,NA,""
31,"ELAAN","Elaeagnus angustifolia","Plantae","Elaeagnaceae","Elaeagnus","angustifolia","",NA,"Russian Olive",NA,NA,NA,NA,NA,""
32,"ELAUM","Elaeagnus umbellata","Plantae","Elaeagnaceae","Elaeagnus","umbellata","",NA,"Autumn Olive",NA,NA,NA,NA,NA,""
33,"EUOAL","Euonymus alatus","Plantae","Celastraceae","Euonymus","alatus","",NA,"Burning Bush",NA,NA,NA,NA,NA,""
34,"EUOFO","Euonymus fortunei","Plantae","Celastraceae","Euonymus","fortunei","",NA,"Winter Creeper",NA,NA,NA,NA,NA,""
35,"FAGGR","Fagus grandifolia","Plantae","Fagaceae","Fagus","grandifolia","",NA,"American Beech",NA,NA,NA,NA,NA,""
36,"FRAAM","Fraxinus americana","Plantae","Oleaceae","Fraxinus","americana","",NA,"White Ash",NA,NA,NA,NA,NA,""
37,"FRANI","Fraxinus nigra","Plantae","Oleaceae","Fraxinus","nigra","",NA,"Black Ash",NA,NA,NA,NA,NA,""
38,"FRAPE","Fraxinus pennsylvanica","Plantae","Oleaceae","Fraxinus","pennsylvanica","",NA,"Green Ash",NA,NA,NA,NA,NA,""
39,"FRAXX","Fraxinus","Plantae","Oleaceae","Fraxinus","","",NA,"Ash",NA,NA,NA,NA,NA,""
40,"GAYBA","Gaylussacia baccata","Plantae","Ericaceae","Gaylussacia","baccata","",NA,"Black Huckleberry",NA,NA,NA,NA,NA,""
41,"GAYFR","Gaylussacia frondosa","Plantae","Ericaceae","Gaylussacia","frondosa","",NA,"Blue Huckleberry",NA,NA,NA,NA,NA,""
42,"GAYXX","Gaylussacia","Plantae","Ericaceae","Gaylussacia","","",NA,"Huckleberry",NA,NA,NA,NA,NA,""
43,"HAMVI","Hamamelis virginiana","Plantae","Hamamelidaceae","Hamamelis","virginiana","",NA,"Witch Hazel",NA,NA,NA,NA,NA,""
44,"ILEVE","Ilex verticillata","Plantae","Aquifoliaceae","Ilex","verticillata","",NA,"Winterberry",NA,NA,NA,NA,NA,""
45,"ILEXX","Ilex","Plantae","Aquifoliaceae","Ilex","","",NA,"Holly",NA,NA,NA,NA,NA,""
46,"KALLA","Kalmia latifolia","Plantae","Ericaceae","Kalmia","latifolia","",NA,"Mountain Laurel",NA,NA,NA,NA,NA,""
47,"LINBE","Lindera benzoin","Plantae","Lauraceae","Lindera","benzoin","",NA,"Northern Spicebush",NA,NA,NA,NA,NA,""
48,"LIRTU","Liriodendron tulipifera","Plantae","Magnoliaceae","Liriodendron","tulipifera","",NA,"Tulip Poplar",NA,NA,NA,NA,NA,""
49,"LYOLI","Lyonia ligustrina","Plantae","Ericaceae","Lyonia","ligustrina","",NA,"Maleberry",NA,NA,NA,NA,NA,""
50,"NYSSY","Nyssa sylvatica","Plantae","Cornaceae","Nyssa","sylvatica","",NA,"Blackgum",NA,NA,NA,NA,NA,""
51,"OSTVI","Ostrya virginiana","Plantae","Betulaceae","Ostrya","virginiana","",NA,"Hop Hornbeam",NA,NA,NA,NA,NA,""
52,"PARQU","Parthenocissus quinquefolia","Plantae","Vitaceae","Parthenocissus","quinquefolia","",NA,"Virginia Creeper",NA,NA,NA,NA,NA,""
